City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
68,Punta Arenas,CL,-53.15,-70.92,33.8,87,99,9.17,overcast clouds,0.0,0.0
69,Marcona,CL,-53.15,-70.92,33.8,87,99,9.17,overcast clouds,0.0,0.0
70,Mombetsu,JP,44.35,143.35,51.8,81,75,3.36,broken clouds,0.0,0.0
71,Ahipara,NZ,-35.17,173.17,56.97,88,52,8.97,broken clouds,0.0,0.0
72,Huitziltepec,MX,17.82,-99.47,72.0,84,100,5.06,light rain,0.22,0.0
73,Bredasdorp,ZA,-34.53,20.04,57.2,76,0,5.21,clear sky,0.0,0.0
74,Cherskiy,RU,68.75,161.3,82.89,25,74,6.78,broken clouds,0.0,0.0
75,Belushya Guba,RU,68.75,161.3,82.89,25,74,6.78,broken clouds,0.0,0.0
76,Taunggyi,MM,20.78,97.03,76.19,78,67,6.89,moderate rain,1.51,0.0
77,Kinshasa,CD,-4.32,15.32,70.97,80,2,4.34,clear sky,0.0,0.0
78,Mataura,NZ,-46.19,168.86,39.0,83,1,3.0,clear sky,0.0,0.0
79,Asau,RO,46.43,26.4,66.99,73,97,4.76,overcast clouds,0.0,0.0
80,Arys,KZ,42.43,68.8,89.6,15,0,4.47,clear sky,0.0,0.0
81,Shache,CN,38.42,77.24,89.8,11,0,2.68,clear sky,0.0,0.0
82,Mana,GF,5.66,-53.78,77.45,88,100,9.17,moderate rain,1.98,0.0
83,Kapaa,US,22.08,-159.32,78.8,78,75,13.87,broken clouds,0.0,0.0
84,Parras,US,22.08,-159.32,78.8,78,75,13.87,broken clouds,0.0,0.0
85,Morondava,MG,-20.28,44.28,68.27,89,100,8.01,light rain,0.29,0.0
86,Los Llanos De Aridane,ES,28.66,-17.92,71.6,64,90,14.99,overcast clouds,0.0,0.0
87,Tiksi,RU,71.69,128.87,66.34,37,0,10.2,clear sky,0.0,0.0
88,Buraydah,SA,26.33,43.98,84.2,32,0,14.99,clear sky,0.0,0.0
89,Zhangye,CN,38.93,100.45,65.32,63,100,3.02,light rain,0.44,0.0
90,Masallatah,LY,32.62,14.0,69.84,69,0,17.72,clear sky,0.0,0.0
91,Qaanaaq,GL,77.48,-69.36,37.96,73,76,5.82,broken clouds,0.0,0.0
92,Kargasok,RU,59.06,80.86,63.64,40,0,16.64,clear sky,0.0,0.0
93,Kamenskiy,RU,50.89,45.49,76.98,58,31,8.48,scattered clouds,0.0,0.0
94,Abu Samrah,SY,35.3,37.18,78.67,43,0,15.66,clear sky,0.0,0.0
95,Kavaratti,IN,10.57,72.64,78.8,94,75,6.93,heavy intensity rain,0.0,0.0
96,Arraial Do Cabo,BR,-22.97,-42.03,72.97,86,0,9.62,clear sky,0.0,0.0
97,Yulara,AU,-25.24,130.99,64.4,22,0,6.93,clear sky,0.0,0.0
98,Adrar,MR,20.5,-10.07,93.97,15,59,13.47,broken clouds,0.0,0.0
99,Butaritari,KI,3.07,172.79,83.73,76,69,12.59,broken clouds,0.0,0.0
100,Whitecourt,CA,54.15,-115.69,54.97,90,100,1.12,overcast clouds,0.0,0.0
101,Avarua,CK,-21.21,-159.78,73.4,60,100,9.17,overcast clouds,0.0,0.0
102,Castro,BR,-24.79,-50.01,54.97,85,0,2.53,clear sky,0.0,0.0
103,Meulaboh,ID,4.14,96.13,86.27,63,60,6.51,light rain,0.17,0.0
104,Mar Del Plata,AR,-38.0,-57.56,54.0,93,100,3.36,overcast clouds,0.0,0.0
105,Ati,TD,13.22,18.34,87.26,50,5,13.85,clear sky,0.0,0.0
106,Nikolskoye,RU,59.7,30.79,63.0,59,17,8.95,few clouds,0.0,0.0
107,Wanderlandia,RU,59.7,30.79,63.0,59,17,8.95,few clouds,0.0,0.0
108,Fairbanks,US,64.84,-147.72,60.8,87,90,0.07,light rain,0.25,0.0
109,Cockburn Town,TC,21.46,-71.14,82.44,83,51,20.83,broken clouds,0.0,0.0
110,Cabo San Lucas,MX,22.89,-109.91,87.8,29,20,9.17,few clouds,0.0,0.0
111,Dicabisagan,PH,17.08,122.42,87.6,70,54,12.33,light rain,0.47,0.0
