City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bouca,CF,2020-06-18 05:27:52,6.51,18.27,70.68,92,100,1.5
70,Geraldton,AU,2020-06-18 05:27:52,-28.77,114.6,66.2,55,40,14.99
71,Beringovskiy,RU,2020-06-18 05:27:53,63.05,179.32,50.7,57,15,3.44
72,Patos De Minas,BR,2020-06-18 05:27:53,-18.58,-46.52,62.01,49,22,7.0
73,Iqaluit,CA,2020-06-18 05:27:53,63.75,-68.51,37.4,74,90,6.93
74,Norrtalje,SE,2020-06-18 05:27:53,59.76,18.7,60.01,86,0,4.0
75,Masterton,NZ,2020-06-18 05:27:53,-40.96,175.66,53.01,89,100,1.01
76,George,ZA,2020-06-18 05:27:54,-33.96,22.46,62.6,42,0,13.87
77,Elat,IL,2020-06-18 05:27:54,29.56,34.95,86.0,22,0,13.87
78,Grand Gaube,MU,2020-06-18 05:27:54,-20.01,57.66,73.0,79,41,14.0
79,Georgetown,MY,2020-06-18 05:26:50,5.41,100.34,87.8,66,20,6.93
80,Manaure,CO,2020-06-18 05:27:55,11.78,-72.44,81.25,78,69,14.83
81,Yulara,AU,2020-06-18 05:27:55,-25.24,130.99,71.6,15,0,9.17
82,Pirajui,BR,2020-06-18 05:27:55,-22.0,-49.46,61.0,77,43,4.0
83,Vestmanna,FO,2020-06-18 05:27:55,62.16,-7.17,48.2,100,100,2.24
84,Kingaroy,AU,2020-06-18 05:27:56,-26.53,151.83,73.0,46,40,12.75
85,Lorengau,PG,2020-06-18 05:27:56,-2.02,147.27,85.73,71,9,10.63
86,Abay,KZ,2020-06-18 05:27:56,49.63,72.85,68.0,56,40,11.18
87,Kavieng,PG,2020-06-18 05:27:56,-2.57,150.8,86.02,67,26,7.81
88,Ternate,ID,2020-06-18 05:27:56,0.8,127.4,85.87,70,37,3.44
89,Katsuura,JP,2020-06-18 05:27:57,35.13,140.3,77.0,81,100,3.0
90,East London,ZA,2020-06-18 05:27:57,-33.02,27.91,57.2,54,16,10.29
91,Cayenne,GF,2020-06-18 05:27:57,4.93,-52.33,73.4,100,20,5.1
92,Saint-Pierre,RE,2020-06-18 05:27:57,-21.34,55.48,71.6,73,12,17.22
93,Westport,US,2020-06-18 05:27:03,41.14,-73.36,64.99,93,90,6.93
94,Sigli,ID,2020-06-18 05:27:57,5.38,95.96,85.91,66,82,4.94
95,Hami,CN,2020-06-18 05:27:58,42.8,93.45,97.07,9,58,6.73
96,Bayan,CN,2020-06-18 05:27:58,46.08,127.4,75.0,37,3,10.78
97,Jardim,BR,2020-06-18 05:27:58,-21.48,-56.14,68.36,67,1,6.11
98,Fayaoue,NC,2020-06-18 05:27:58,-20.65,166.53,75.0,75,56,14.83
99,Hambantota,LK,2020-06-18 05:27:58,6.12,81.12,89.6,70,20,11.41
100,Lavrentiya,RU,2020-06-18 05:27:59,65.58,-171.0,50.56,64,65,3.49
101,Samfya,ZM,2020-06-18 05:27:59,-11.36,29.56,54.0,74,0,10.96
102,Thompson,CA,2020-06-18 05:27:43,55.74,-97.86,39.2,93,90,14.99
103,Ponta Do Sol,PT,2020-06-18 05:27:59,32.67,-17.1,68.0,72,20,8.05
104,Puerto Ayora,EC,2020-06-18 05:27:59,-0.74,-90.35,68.0,92,52,7.52
105,Airai,TL,2020-06-18 05:27:59,-8.93,125.41,69.57,77,93,6.06
106,Barrow,US,2020-06-18 05:28:00,71.29,-156.79,42.8,75,1,11.41
107,Naze,JP,2020-06-18 05:28:00,28.37,129.48,87.8,74,75,21.92
108,Ambilobe,MG,2020-06-18 05:28:00,-13.2,49.05,73.27,47,0,2.46
109,Bilma,NE,2020-06-18 05:28:00,18.69,12.92,83.23,18,0,11.01
110,Half Moon Bay,US,2020-06-18 05:27:28,37.46,-122.43,71.01,87,0,2.71
111,Huarmey,PE,2020-06-18 05:28:01,-10.07,-78.15,61.9,86,60,7.36
112,Lagoa,PT,2020-06-18 05:28:01,39.05,-27.98,62.62,77,90,6.17
113,Matara,LK,2020-06-18 05:28:01,5.95,80.54,85.57,74,86,11.14
114,Gua Musang,MY,2020-06-18 05:28:01,4.88,101.96,94.57,49,71,1.14
115,Gombe,NG,2020-06-18 05:28:02,10.29,11.17,73.83,76,100,18.45
116,Nandi Hills,KE,2020-06-18 05:28:02,0.11,35.18,66.2,93,75,5.82
117,Erzin,TR,2020-06-18 05:28:02,36.96,36.2,75.0,85,2,2.48
118,Fortuna,US,2020-06-18 05:28:02,40.6,-124.16,55.0,87,1,4.05
119,Sola,VU,2020-06-18 05:28:02,-13.88,167.55,80.55,81,95,25.12
120,Hamilton,US,2020-06-18 05:28:03,39.18,-84.53,69.8,82,1,2.86
121,Adrar,MR,2020-06-18 05:28:03,20.5,-10.07,90.75,23,29,20.27
122,Rocha,UY,2020-06-18 05:26:26,-34.48,-54.33,69.76,76,100,17.76
123,Nikolskoye,RU,2020-06-18 05:28:03,59.7,30.79,72.0,83,1,6.71
124,Sinnamary,GF,2020-06-18 05:28:04,5.38,-52.95,77.41,86,100,5.61
125,Teknaf,BD,2020-06-18 05:28:04,20.86,92.31,81.39,86,100,9.35
126,Sergeyevka,KZ,2020-06-18 05:28:04,53.88,67.42,56.66,59,79,14.36
127,Vardo,NO,2020-06-18 05:28:04,70.37,31.11,55.4,76,2,8.05
